year,TotalSystemASM,TotalSystemRPM,DomesticASM,DomesticRPM,InternationalASM,InternationalRPM,AtlanticASM,AtlanticRPM,LatinASM,LatinRPM,PacificASM,PacificRPM
1995,829581,557234,614610,402776,210131,151032,91288,68761,39899,25163,78944,57109
1996,862621,598203,641732,436647,214102,156796,90173,68712,43107,27664,80822,60420
1997,884192,622234,655849,453023,222572,164848,93693,73398,45940,30055,82939,61395
1998,898359,635795,661495,463618,229758,166962,100604,78030,52975,33375,76179,55557
1999,945245,670779,701176,489655,235797,175316,108599,84251,52108,34818,75090,56247
2000,980769,708762,725929,515703,246924,187404,115391,90703,52995,36663,78538,60038
2001,953875,725027,706867,503471,238905,173617,110785,82548,52773,35849,75347,55219
2002,913561,654337,686721,483253,219151,167341,101848,80010,52987,35570,64317,51761
2003,922408,674137,697012,505420,211833,161066,98178,76777,54528,38149,59127,46140
2004,1000027,752266,750902,557936,234855,185009,106952,86737,62109,43513,65795,54758
2005,1029253,795096,758665,583625,255356,201935,113223,92154,68865,49673,73268,60109
2006,1027553,810120,746002,590592,268690,213858,121329,97468,73371,55064,73989,61326
2007,1060116,842026,763581,606909,283618,226972,132479,106583,76725,58921,74413,61468
2008,1040840,823783,734240,583232,293890,232462,143403,113508,76359,59477,74128,59477
2009,975307,779997,683441,552097,280366,221317,135035,108162,76086,58483,69246,54672
2010,991934,809068,689911,564695,289700,237247,134051,110494,83043,65444,72607,61309
2011,1012597,825916,697779,575613,303145,243228,137620,110659,87094,69078,78432,63491
2012,1012261,832734,699590,580501,303844,247547,131213,107217,90755,72798,81876,67531
2013,1025616,848000,708403,589692,309250,254558,130443,108436,95546,77360,83262,68763
2014,1048107,869677,721277,607772,319752,258511,132557,107490,102780,82114,84415,68906
2015,1090185,908795,756922,641906,326547,264094,134275,107345,106568,85581,85704,71168
2016,1131983,939240,794475,670437,330533,266103,133778,103562,108098,88261,88658,74280
2017,1168054,969904,822525,693818,338651,273633,135071,107343,112208,91524,91372,74765
2018,1220541,1016999,866592,730426,346791,283541,139739,114206,114695,94144,92357,75191
2019,1259515,1061006,898224,762836,354147,295209,147764,122963,115189,96578,91194,75668
2020,655534,382098,521923,305871,126686,73704,46987,23892,54432,35988,25267,13824
